Compliance Type,Requirment #, Requirement Description,Simple Explanation,WorkStreams,Measures Taken,Documented In,Documented In,Document Links,Top Matches,Document Links For the Top Matches,What is Missing,Actions Needed to Fix GAPS- Design,Supporting Workstream,Patch Fixes URL,DOcuments Scanned,Status,Imp Needed,Imp Reason,O.E Needed,O.E Reason,Imp Status,Imp Evidence,Imp Evidence Links,Imp Gaps,Imp Gap Fixes,O.E Status,O.E Evidence,O.E Evidence Links,O.E Gaps,O.E Gap Fixes
DORA,Art. 6 (8),"8.   The ICT risk management framework shall include a digital operational resilience strategy setting out how the framework shall be implemented. To that end, the digital operational resilience strategy shall include methods to address ICT risk and attain specific ICT objectives, by:",,ICT Strategy & Governance,,,"• ZPS Guideline External Requirements – [Roles and responsibilities]: Communicates with Business Unit Leads about which legislative acts must they follow.
• ZPS ICT Risk Management Procedure – [ICT Risk Treatment
Defines the possible risk treatment options, including mitigation, transfer, avoidance, and acceptance, and outlines the process for identifying and implementing protection measures to reduce risk to an acceptable level.]
• ZPS Regular review of the Control Catalogue (Target Controls) – [Target Controls Regular Review Process
The process outlines the responsibilities, frequency, and steps for verifying and testing target controls, including those related to ICT risk management.]
• ZPS Guideline Business Continuity Management 2024 – [6.2.3 Continuity strategies
The excerpt clearly explains how continuity strategies are developed and implemented to address operational disruption scenarios, including the responsibility of the BC Manager, the need for at least one strategy per scenario, and the connection to the BIA results.]","https://docs.google.com/document/d/1hzwBGmJIRFsTX9genZTfw7erFV4q92-T9JlqTGK23iA/preview
https://docs.google.com/document/d/1hzwBGmJIRFsTX9genZTfw7erFV4q92-T9JlqTGK23iA/preview
https://docs.google.com/document/d/1PgMAYcIuwKwxXkyCq1HTubmeS_KfzXnMmMt_5-CIyW4/preview
https://docs.google.com/document/d/1RF8zky2m1jtqzaVXdww8N0jv_CJmd_4j3MC5w6jo8b4/preview
https://docs.google.com/document/d/1q0x0rzBKmyuWwtFLHx5DTEsJLFOWggoP9NvX1zIoywc/preview
https://docs.google.com/document/d/1AlqhMJP23cbMqTgHtAaPD1Lr5MwNRNdeZrFO1-2LaMM/preview
https://docs.google.com/document/d/1AlqhMJP23cbMqTgHtAaPD1Lr5MwNRNdeZrFO1-2LaMM/preview
https://docs.google.com/document/d/1t1qfTukSyOBJVlLJ0MM5MvfrGek3zKIdqUEsEfdtA3g/preview
https://docs.google.com/document/d/1t1qfTukSyOBJVlLJ0MM5MvfrGek3zKIdqUEsEfdtA3g/preview
https://docs.google.com/document/d/1VE_GWokZt5TTeuQa-jxNDV4hXSENr5DrBZl79xjGe88/preview
https://docs.google.com/document/d/1AkxcMFuP1DcNT_H3RMdQuSoZo9zu_R9mobzUMwND3iY/preview",,,,,"ICT Risk Management, Operational ICT Security (OpSec), Business Continuity And Emergency Mgt",,"Documents scanned:
• ZPS ICT Risk Management Guideline
• ZPS Guideline Business Continuity Management Roles and Responsibilities
• ZPS Guideline Business Continuity Management 2024
• ZPS Guideline External Requirements
• ZPS_Guideline_BaFin Incident Reporting_final 2.0
• ZPS Guideline Logging and Monitoring
• ZPS Guideline Information Security Incident Management
• ZPS Guideline Network Security
• ZPS Guideline Penetration Testing
• ZPS Guideline Vulnerability and Patch Management
• ZPS Guideline Encryption
• ZPS Policy Acceptable Use
• ZPS Written Rules and Regulation Policy
• ZPS Risk Management Policy 6.0 
• ZPS Information Risk Management Policy 2.0
• ZPS Policy ICT Business Continuity Policy 
• ZPS Procedure Network Security
• ZPS Encryption Procedure
•  ZPS Procedure System Hardening
• ZPS Procedure Penetration Test 
• ZPS Procedure BaFin Incident Reporting PP and RM
• ZPS ICT Risk Management Procedure
• 03. Work instructions for assessing risks and usage of SAP GRC 4.0
• ZPS Business Continuity Management Testing Procedure
• ZPS BCM Business Impact Analysis Procedure
• ZPS Regular review of the Control Catalogue (Target Controls)
• ZPS Procedure Security Incident & Event Response 
• ZPS Process Written Rules and Regulation",,,,,,,,,,,,,,,
DORA,Art. 6 (8) (a),(a) explaining how the ICT risk management framework supports the financial entity’s business strategy and objectives;,,ICT Strategy & Governance,,,,,,,,,"ICT Risk Management, Business Continuity And Emergency Mgt, ICT Operations And Continuity",,,,,,,,,,,,,,,,,
DORA,Art. 6 (8) (b),"(b) establishing the risk tolerance level for ICT risk, in accordance with the risk appetite of the financial entity, and analysing the impact tolerance for ICT disruptions;",,ICT Strategy & Governance,,,,,,,,,,,"Documents scanned:
• ZPS Guideline External Requirements
• ZPS Policy Acceptable Use
• ZPS Written Rules and Regulation Policy
• ZPS Process Written Rules and Regulation",,,,,,,,,,,,,,,
DORA,Art. 6 (8) (c),"(c) setting out clear information security objectives, including key performance indicators and key risk metrics;",,ICT Strategy & Governance,,,,"https://docs.google.com/document/d/1RF8zky2m1jtqzaVXdww8N0jv_CJmd_4j3MC5w6jo8b4/preview
https://docs.google.com/document/d/1OyXx2RGWfURoIIIedTXLhUrALzEJcvTCjv4o9G5hXHA/preview",,,,,,,"Documents scanned:
• ZPS Guideline External Requirements
• ZPS Policy Acceptable Use
• ZPS Written Rules and Regulation Policy
• ZPS Process Written Rules and Regulation",,,,,,,,,,,,,,,
DORA,Art. 6 (8) (d),(d) explaining the ICT reference architecture and any changes needed to reach specific business objectives,,ICT Strategy & Governance,,,,,,,,,,,"Documents scanned:
• ZPS Guideline External Requirements
• ZPS Policy Acceptable Use
• ZPS Written Rules and Regulation Policy
• ZPS Process Written Rules and Regulation",,,,,,,,,,,,,,,
DORA,Art. 6 (8) (e),"(e) outlining the different mechanisms put in place to detect ICT-related incidents, prevent their impact and provide protection from it;",,ICT Strategy & Governance,,,,https://docs.google.com/document/d/1RF8zky2m1jtqzaVXdww8N0jv_CJmd_4j3MC5w6jo8b4/preview,,,,,,,"Documents scanned:
• ZPS Guideline External Requirements
• ZPS Policy Acceptable Use
• ZPS Written Rules and Regulation Policy
• ZPS Process Written Rules and Regulation",,,,,,,,,,,,,,,
DORA,Art. 6 (8) (f),evidencing the current digital operational resilience situation on the basis of the number of major ICT-related incidents reported and the effectiveness of preventive measures;,,ICT Strategy & Governance,,,,,,,,,"ICT Risk Management, Operational ICT Security (OpSec), Information Security Management (ISM)",,,,,,,,,,,,,,,,,
DORA,Art. 6 (8) (g),"implementing digital operational resilience testing, in accordance with Chapter IV of DORA Regulation;",,ICT Strategy & Governance,,,,,,,,,"ICT Risk Management, Operational ICT Security (OpSec), ICT Operations And Continuity",,,,,,,,,,,,,,,,,
DORA,Art. 6 (8) (h),outlining a communication strategy in the event of ICT-related incidents,,ICT Strategy & Governance,,,,,,,,,"Operational ICT Security (OpSec), Business Continuity And Emergency Mgt, Information Security Management (ISM)",,,,,,,,,,,,,,,,,
DORA,Art. 5 (1),"1. Financial entities shall have in place an internal governance and control framework that ensures an effective and prudent management of ICT risk, in accordance with Article 6(4), in order to achieve a high level of digital operational resilience.",,ICT Risk Management,- No measures have been identified as there are no matched documents or sections found.,[⚠️ No relevant section found in any scanned document.],,,No explicitly strong matches found.,,"- [F5] No documented internal governance and control framework for managing ICT risk.
- [F4] No defined process to ensure effective and prudent management of ICT risk.
- [F3] No process to achieve a high level of digital operational resilience.","- Update: ""ZPS ICT Risk Management Guideline"" — Add a section on ""Internal Governance and Control Framework"" outlining the structure and processes for managing ICT risk.
- Update: ""ZPS Risk Management Policy 6.0"" — Include a subsection under ""Risk Management Process"" detailing the steps to ensure effective and prudent management of ICT risk.
- Update: ""ZPS Information Risk Management Policy 2.0"" — Add a new section ""Achieving Digital Operational Resilience"" describing the strategies and measures to enhance digital resilience.",,,"Documents scanned:
• ZPS ICT Risk Management Guideline
• ZPS Risk Management Policy 6.0 
• ZPS Information Risk Management Policy 2.0
• ZPS ICT Risk Management Procedure
• 03. Work instructions for assessing risks and usage of SAP GRC 4.0
• ZPS Regular review of the Control Catalogue (Target Controls)",Not compliant,Yes,"The requirement calls for an actual governance and control framework to be in place, not just documented policies and procedures.",Yes,The effectiveness of the implemented framework and processes needs to be evaluated to ensure they are achieving the desired level of digital operational resilience.,,,,,,,,,,
DORA,Art. 5 (2),"2. The management body of the financial entity shall define, approve, oversee and be responsible for the implementation of all arrangements related to the ICT risk management framework referred to in Article 6(1). For the purposes of the first subparagraph, the management body shall:",,ICT Strategy & Governance,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 5 (2) (b),(a) bear the ultimate responsibility for managing the financial entity’s ICT risk;,,ICT Strategy & Governance,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 5 (2) (c),"(b) put in place policies that aim to ensure the maintenance of high standards of availability, authenticity, integrity and confidentiality, of data;",,ICT Strategy & Governance,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 5 (2) (d),"(c) set clear roles and responsibilities for all ICT-related functions and establish appropriate governance arrangements to ensure effective and timely communication, cooperation and coordination among those functions;",,ICT Strategy & Governance,,"• ZPS Guideline External Requirements – [Roles and responsibilities]: Communicates with Business Unit Leads about which legislative acts must they follow.
• ZPS Written Rules and Regulation Policy – [Responsibilities]: The core responsibilities are distinguished between different roles, such as Managing Directors and Department Heads/Leads, who are responsible for reviewing and approving policies, overseeing implementation of strategies, creating and reviewing sfO documents, and resolving any inconsistencies.
• ZPS Process Written Rules and Regulation – [Responsibilities]: The Process requires activities from multiple stakeholders, i.e. actors. Main responsibilities are distinguished between different roles and are as follows: Community of Practice Lead.
• ZPS Process Written Rules and Regulation – [Responsibilities]: The roles of Community of Practice Lead, Document Owner, Document Author, and Document Contributor clearly define the responsibilities for setting clear roles and responsibilities for all ICT-related functions and establishing appropriate governance arrangements to ensure effective communication, cooperation, and coordination among those functions.",,"https://docs.google.com/document/d/1RF8zky2m1jtqzaVXdww8N0jv_CJmd_4j3MC5w6jo8b4/preview
https://docs.google.com/document/d/1GolSqzw0e7EkVsbQQxOPc0fU60f9rk5RX70nygLI8j0/preview
https://docs.google.com/document/d/1OyXx2RGWfURoIIIedTXLhUrALzEJcvTCjv4o9G5hXHA/preview
https://docs.google.com/document/d/1OyXx2RGWfURoIIIedTXLhUrALzEJcvTCjv4o9G5hXHA/preview",,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 5 (2) (e),"(d) bear the overall responsibility for setting and approving the digital operational resilience strategy as referred to in Article 6(8), including the determination of the appropriate risk tolerance level of ICT risk of the financial entity, as referred to in Article 6(8), point (b);",,ICT Strategy & Governance,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 5 (2) (f),"(e) approve, oversee and periodically review the implementation of the financial entity’s ICT business continuity policy and ICT response and recovery plans, referred to, respectively, in Article 11(1) and (3), which may be  dedicated specific policy forming an integral part of the financial entity’s overall business continuity policy andadopted as a response and recovery plan;",,ICT Strategy & Governance,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 5 (2) (g),"(f) approve and periodically review the financial entity’s ICT internal audit plans, ICT audits and material modifications to them;",,ICT Strategy & Governance,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 5 (2) (h),"(g) allocate and periodically review the appropriate budget to fulfil the financial entity’s digital operational resilience needs in respect of all types of resources, including relevant ICT security awareness programmes and  27.12.2022 EN Official Journal of the European Union L 333/29resilience training referred to in Article 13(6), and ICT skills for all staff;",,ICT Strategy & Governance,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 5 (2) (i),(h) approve and periodically review the financial entity’s policy on arrangements regarding the use of ICT services provided by ICT third-party service providers;,,Third-Party And ICT Outsourcing,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 5 (2) (j),"(i) put in place, at corporate level, reporting channels enabling it to be duly informed of the following:
(i) arrangements concluded with ICT third-party service providers on the use of ICT services,
(ii) any relevant planned material changes regarding the ICT third-party service providers,
(iii) the potential impact of such changes on the critical or important functions subject to those arrangements, including a risk analysis summary to assess the impact of those changes, and at least major ICT-related incidents and their impact, as well as response, recovery and corrective measures.",,Third-Party And ICT Outsourcing,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art.5 (3),"3. Financial entities, other than microenterprises, shall establish a role in order to monitor the arrangements concluded with ICT third-party service providers on the use of ICT services, or shall designate a member of senior management as responsible for overseeing the related risk exposure and relevant documentation.",,Third-Party And ICT Outsourcing,,,,,,,,,,,,,,,,,,,,,,,,,,
